OVG;motief11;hfdvm2;waarde_modal_split;verplaatsingen;MeetType;DagType
71;zakelijke verplaatsing;elektrische fiets;0,00793400529253891;154;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;elektrische step/monowheel/hoverboard;0,000155920427263332;4;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;lijnbus;0,00046326551083492;9;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;metro;0,00014021032644418;4;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;niet-elektrische fiets;0,00572444304745399;109;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;speed pedelec;0,00254709030854265;18;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;taxi of vergelijkbaar;0,000143766467856214;2;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;te voet;0,00368216938341177;95;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;tram;0,000403069910742298;9;in aantal verplaatsingen per dag;alle dagen
71;zakelijke verplaatsing;trein;0,00158857420810417;44;in aantal verplaatsingen per dag;alle dagen
71;diensten (bv. dokter, bank);anders;0,00372384708996528;19;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);autobestuurder;0,651653608653988;1630;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);autopassagier +18;0,204945613265791;364;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);autopassagier -18;0,0618676323626114;178;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);brom-/snorfiets of motor;0,0054205924747438;11;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);elektrische fiets;0,0343121479391015;245;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);elektrische step/monowheel/hoverboard;0,00053655944602836;4;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);lijnbus;0,0205819909938498;54;in aantal km per dag;alle dagen
